participant: 5 results file 
saved at: Wed Mar 16 14:45:31 2011
question 	 answer 	 time 
1	1	23
2	2	23
3	2	17
4	1	18
5	1	44
6	1	18
7	2	13
8	1	12
9	2	24
10	1	12
11	1	16
12	2	19
13	1	21
14	2	11
15	3	24
16	1	14
17	2	37
18	3	14
19	2	13
20	1	11
21	3	53
22	2	11
23	3	20
24	2	18
25	1	5
26	1	7
27	2	8
28	2	10
29	3	23
30	2	14
31	2	12
32	1	6
33	1	11
34	2	10
35	2	15
36	1	6
37	2	22
38	1	14
39	1	15
40	2	8
41	2	16
42	2	24
43	1	9
44	2	10
45	1	21
46	1	10
47	2	27
48	2	18
49	3	35
50	3	28
51	2	15
52	1	10
53	1	14
54	1	13
55	3	19
56	2	20
57	3	35
58	3	40
59	2	11
60	1	8
