participant: 2 results file 
saved at: Tue Mar 15 14:59:19 2011
question 	 answer 	 time 
1	1	14
2	2	13
3	2	13
4	1	11
5	1	9
6	1	7
7	2	12
8	1	8
9	2	18
10	2	10
11	1	6
12	2	15
13	3	12
14	2	10
15	3	10
16	1	12
17	2	14
18	3	12
19	2	8
20	2	12
21	3	19
22	2	20
23	3	11
24	3	13
25	1	12
26	1	7
27	2	8
28	2	9
29	1	13
30	2	16
31	2	7
32	1	7
33	1	5
34	2	10
35	2	8
36	1	7
37	2	10
38	1	8
39	1	14
40	2	11
41	2	15
42	2	9
43	1	7
44	1	9
45	1	23
46	1	7
47	1	20
48	2	12
49	2	13
50	3	27
51	2	19
52	1	28
53	1	26
54	3	24
55	3	46
56	2	22
57	1	13
58	3	18
59	2	23
60	1	19
