user 	 quest 	 exists 	 dataset 	 cond 	 task 	 answer 	 time 				2.5D	2.5DC	2D	3D
1	3	0	1	1	1	0	13				1	0	1	1
1	7	0	2	1	1	0	17				1	1	1	1
1	11	1	3	1	1	-1	29				0	1	1	1
1	15	1	1	1	2	-1	14				0	1	1	1
1	19	1	2	1	2	0	15				1	1	1	1
1	23	1	3	1	2	0	20				1	0	0	1
1	27	0	1	1	3	-1	33				0	0	1	0
1	31	0	2	1	3	0	22				1	1	0	0
1	35	0	3	1	3	0	14				1	1	0	1
1	39	1	1	1	4	0	11				1	1	1	1
1	43	1	2	1	4	0	16				1	1	1	1
1	47	0	3	1	4	0	15				1	1	1	1
1	51	1	1	1	5	-1	35				0	1	1	1
1	55	1	2	1	5	0	39				1	1	1	1
1	59	1	3	1	5	0	22				1	1	1	0
2	4	1	1	1	1	0	11				1	1	1	1
2	8	1	2	1	1	0	8				1	1	1	1
2	12	0	3	1	1	0	15				1	1	1	1
2	16	1	1	1	2	0	12				1	1	1	1
2	20	1	2	1	2	-1	12				0	1	1	1
2	24	1	3	1	2	0	13				1	1	1	0
2	28	0	1	1	3	0	9				1	1	1	1
2	32	1	2	1	3	0	7				1	1	1	1
2	36	1	3	1	3	0	7				1	1	1	1
2	40	0	1	1	4	0	11				1	1	1	1
2	44	0	2	1	4	-1	9				0	1	1	1
2	48	0	3	1	4	0	12				1	0	1	1
2	52	1	1	1	5	0	28				1	1	1	1
2	56	1	2	1	5	0	22				1	1	0	1
2	60	1	3	1	5	0	19				1	1	0	1
3	4	1	1	1	1	0	8				1	1	1	1
3	8	1	2	1	1	0	11				1	1	1	1
3	12	0	3	1	1	0	17				1	1	1	1
3	16	1	1	1	2	0	35				1	1	0	1
3	20	1	2	1	2	0	11				1	1	1	0
3	24	1	3	1	2	0	12				1	1	0	0
3	28	0	1	1	3	0	10				1	1	1	1
3	32	1	2	1	3	0	14				1	1	1	1
3	36	1	3	1	3	0	12				1	1	1	1
3	40	0	1	1	4	0	23				1	1	1	1
3	44	0	2	1	4	-1	14				0	1	1	1
3	48	0	3	1	4	0	19				1	1	1	1
3	52	1	1	1	5	0	59				1	1	0	1
3	56	1	2	1	5	0	45				1	1	1	1
3	60	1	3	1	5	0	14				1	0	0	0
4	3	0	1	1	1	0	17				1	0	1	1
4	7	0	2	1	1	0	18				1	1	1	1
4	11	1	3	1	1	0	15				1	1	1	1
4	15	1	1	1	2	0	24				1	1	1	1
4	19	1	2	1	2	0	14				1	1	1	1
4	23	1	3	1	2	0	31				1	1	1	1
4	27	0	1	1	3	0	14				1	1	1	1
4	31	0	2	1	3	0	20				1	1	1	1
4	35	0	3	1	3	0	20				1	1	1	1
4	39	1	1	1	4	0	13				1	1	1	1
4	43	1	2	1	4	0	14				1	0	1	1
4	47	0	3	1	4	0	17				1	1	1	1
4	51	1	1	1	5	0	46				1	1	1	1
4	55	1	2	1	5	0	67				1	1	1	1
4	59	1	3	1	5	0	18				1	1	0	1
5	1	1	1	1	1	0	23				1	1	1	1
5	5	1	2	1	1	0	44				1	1	1	1
5	9	0	3	1	1	0	24				1	0	1	1
5	13	1	1	1	2	-1	21				0	1	1	1
5	17	1	2	1	2	0	37				1	1	1	1
5	21	1	3	1	2	-1	53				0	1	1	0
5	25	1	1	1	3	0	5				1	1	1	1
